symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
COP,ConocoPhillips Common Stock,$131.77,0.13,0.099%,6794334,160865840248.0,United States,,Integrated oil Companies,Energy,/market-activity/stocks/cop
ISRG,Intuitive Surgical Inc. Common Stock,$452.95,0.37,0.082%,1796827,160856240849.0,United States,2000,Industrial Specialties,Health Care,/market-activity/stocks/isrg
ADI,Analog Devices Inc. Common Stock,$327.41,0.05,0.015%,2344434,159842923043.0,United States,,Semiconductors,Technology,/market-activity/stocks/adi
APH,Amphenol Corporation Common Stock,$128.38,1.89,1.494%,4462122,157806612713.0,United States,,Electrical Products,Technology,/market-activity/stocks/aph
DE,Deere & Company Common Stock,$576.00,0.91,0.158%,876103,155581794432.0,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/de
PFE,Pfizer Inc. Common Stock,$27.10,-0.73,-2.623%,46620562,154154451096.0,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/pfe
TBB,AT&T Inc. 5.350% Global Notes due 2066,$21.50,-0.02,-0.093%,146318,153733287820.0,United States,2017,Telecommunications Equipment,Telecommunications,/market-activity/stocks/tbb
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$117.06,-1.74,-1.465%,5942323,152659277323.0,Canada,,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/shop
ARM,Arm Holdings plc American Depositary Shares,$143.86,-4.91,-3.30%,7072242,152385718896.0,United Kingdom,2023,Semiconductors,Technology,/market-activity/stocks/arm
BLK,BlackRock Inc. Common Stock,$958.46,-0.95,-0.099%,471226,149080340595.0,United States,1999,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/blk
UBER,Uber Technologies Inc. Common Stock,$71.73,-0.44,-0.61%,9686568,146540541183.0,United States,2019,Real Estate,Real Estate,/market-activity/stocks/uber
UNP,Union Pacific Corporation Common Stock,$246.11,0.57,0.232%,2878863,146110166413.0,United States,,Railroads,Industrials,/market-activity/stocks/unp
LMT,Lockheed Martin Corporation Common Stock,$627.70,-10.20,-1.599%,732148,144661071469.0,United States,,Military/Government/Technical,Industrials,/market-activity/stocks/lmt
ETN,Eaton Corporation PLC Ordinary Shares,$368.85,4.96,1.363%,2185336,143108392659.0,Ireland,,Industrial Machinery/Components,Technology,/market-activity/stocks/etn
SCCO,Southern Copper Corporation Common Stock,$173.97,-2.70,-1.528%,1161558,142499363176.0,United States,,Metal Mining,Basic Materials,/market-activity/stocks/scco
HON,Honeywell International Inc. Common Stock,$223.84,-4.37,-1.915%,3719461,142289648912.0,United States,,Aerospace,Industrials,/market-activity/stocks/hon
PDD,PDD Holdings Inc. American Depositary Shares,$99.54,-1.37,-1.358%,4967645,141311608827.0,China,2018,EDP Services,Technology,/market-activity/stocks/pdd
WELL,Welltower Inc. Common Stock,$201.58,0.67,0.333%,1931804,140652954997.0,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/well
PANW,Palo Alto Networks Inc. Common Stock,$169.87,7.92,4.89%,8671285,138613920000.0,United States,,Computer peripheral equipment,Technology,/market-activity/stocks/panw
APP,Applovin Corporation Class A Common Stock,$410.44,-2.24,-0.543%,2933672,138432382320.0,United States,2021,Computer Software: Programming Data Processing,Technology,/market-activity/stocks/app
BKNG,Booking Holdings Inc. Common Stock,$173.41,-2.78,-1.578%,9119358,137311873247.0,United States,,Transportation Services,Consumer Discretionary,/market-activity/stocks/bkng
DHR,Danaher Corporation Common Stock,$191.01,-1.11,-0.578%,2932668,135177666023.0,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/dhr
PBR,Petroleo Brasileiro S.A. Petrobras ADS,$20.71,-0.15,-0.719%,15159320,133462827751.0,Brazil,,Oil & Gas Production,Energy,/market-activity/stocks/pbr
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$20.47,0.03,0.147%,2713274,132524330869.0,Japan,,Commercial Banks,Finance,/market-activity/stocks/smfg
QCOM,QUALCOMM Incorporated Common Stock,$124.07,-1.66,-1.32%,8840401,132382690000.0,United States,1991,Radio And Television Broadcasting And Communications Equipment,Technology,/market-activity/stocks/qcom
ACN,Accenture plc Class A Ordinary Shares (Ireland),$197.30,-1.65,-0.829%,3803010,131232524492.0,Ireland,2001,Real Estate,Real Estate,/market-activity/stocks/acn
HDB,HDFC Bank Limited Common Stock,$25.51,-0.16,-0.623%,11087486,130560856194.0,India,2001,Commercial Banks,Finance,/market-activity/stocks/hdb
SPGI,S&P Global Inc. Common Stock,$430.06,-4.05,-0.933%,1543116,130367053924.0,United States,,Finance: Consumer Services,Finance,/market-activity/stocks/spgi
LOW,Lowe's Companies Inc. Common Stock,$231.61,-3.59,-1.526%,2522365,129716290791.0,United States,,RETAIL: Building Materials,Consumer Discretionary,/market-activity/stocks/low
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$71.55,-0.98,-1.351%,2302438,128589659571.0,Belgium,,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/bud
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$58.80,0.09,0.153%,3452507,128292490351.0,United Kingdom,1998, Medicinal Chemicals and Botanical Products ,Health Care,/market-activity/stocks/bti
CB,Chubb Limited  Common Stock,$327.40,0.50,0.153%,1093789,127760984095.0,Switzerland,,Property-Casualty Insurers,Finance,/market-activity/stocks/cb
GLW,Corning Incorporated Common Stock,$148.52,2.02,1.379%,7791419,127422453149.0,United States,,Telecommunications Equipment,Industrials,/market-activity/stocks/glw
SYK,Stryker Corporation Common Stock,$332.07,-0.23,-0.069%,1660401,127177580894.0,United States,,Medical/Dental Instruments,Health Care,/market-activity/stocks/syk
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$22.22,0.40,1.833%,1782505,126853284514.0,Spain,,Commercial Banks,Finance,/market-activity/stocks/bbva
SONY,Sony Group Corporation American Depositary Shares ,$20.88,0.10,0.481%,4280743,125802047920.0,Japan,,Consumer Electronics/Appliances,Consumer Staples,/market-activity/stocks/sony
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),$55.70,-0.33,-0.589%,4949882,124357513280.0,United Kingdom,2025,Package Goods/Cosmetics,Consumer Discretionary,/market-activity/stocks/ul
PLD,Prologis Inc. Common Stock,$133.22,0.87,0.657%,2300966,124191770657.0,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/pld
NEM,Newmont Corporation,$114.65,1.82,1.613%,7933785,123814333355.0,United States,,Precious Metals,Basic Materials,/market-activity/stocks/nem
BP,BP p.l.c. Common Stock,$47.24,-0.24,-0.505%,11641329,123235953822.0,United Kingdom,,Integrated oil Companies,Energy,/market-activity/stocks/bp
UBS,UBS Group AG Registered Ordinary Shares,$39.57,-0.12,-0.302%,2413002,122338536988.0,Switzerland,2014,Major Banks,Finance,/market-activity/stocks/ubs
RIO,Rio Tinto Plc Common Stock,$94.66,0.65,0.691%,1794845,118893936323.0,Australia,2002,Metal Mining,Basic Materials,/market-activity/stocks/rio
ENB,Enbridge Inc Common Stock,$54.38,0.64,1.191%,3747403,118675477033.0,Canada,,Natural Gas Distribution,Energy,/market-activity/stocks/enb
BMY,Bristol-Myers Squibb Company Common Stock,$57.67,-1.66,-2.798%,9003057,117746883690.0,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/bmy
PGR,Progressive Corporation (The) Common Stock,$196.85,0.47,0.239%,2877408,115335665588.0,United States,,Property-Casualty Insurers,Finance,/market-activity/stocks/pgr
PH,Parker-Hannifin Corporation Common Stock,$912.97,0.87,0.095%,456201,115231904481.0,United States,,Metal Fabrications,Industrials,/market-activity/stocks/ph
DELL,Dell Technologies Inc. Class C Common Stock ,$177.69,4.51,2.604%,5753031,114743042258.0,United States,2018,Computer Manufacturing,Technology,/market-activity/stocks/dell
SNY,Sanofi ADS,$46.83,-0.77,-1.618%,2480680,114211541811.0,France,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/sny
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$55.84,-0.53,-0.94%,3845856,113880797015.0,United Kingdom,2022,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/gsk
INTU,Intuit Inc. Common Stock,$410.24,-7.12,-1.706%,2154148,113451872000.0,United States,1993,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/intu
COF,Capital One Financial Corporation Common Stock,$181.15,-3.06,-1.661%,5979968,113237276392.0,United States,1994,Major Banks,Finance,/market-activity/stocks/cof
CME,CME Group Inc. Class A Common Stock,$310.58,2.01,0.651%,1519284,112680933797.0,United States,2002,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/cme
MDT,Medtronic plc. Ordinary Shares,$86.42,0.14,0.162%,6995410,110953338589.0,United States,,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,/market-activity/stocks/mdt
MO,Altria Group Inc.,$66.25,-0.30,-0.451%,10982094,110724523615.0,United States,, Medicinal Chemicals and Botanical Products ,Health Care,/market-activity/stocks/mo
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$431.86,-2.44,-0.562%,1029163,109889783177.0,United States,1991,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/vrtx
HCA,HCA Healthcare Inc. Common Stock,$489.58,5.66,1.17%,1106095,109454894374.0,United States,2011,Hospital/Nursing Management,Health Care,/market-activity/stocks/hca
SO,Southern Company (The) Common Stock,$96.82,-0.12,-0.124%,3796538,109243925457.0,United States,,Electric Utilities: Central,Utilities,/market-activity/stocks/so
SBUX,Starbucks Corporation Common Stock,$95.21,0.43,0.454%,6205602,108469142827.0,United States,1992,Restaurants,Consumer Discretionary,/market-activity/stocks/sbux
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$423.23,24.62,6.176%,4626848,107337091311.0,United States,2019,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/crwd
WDC,Western Digital Corporation Common Stock,$311.96,7.81,2.568%,5891600,105766270147.0,United States,,Electronic Components,Technology,/market-activity/stocks/wdc
EQNR,Equinor ASA,$42.07,0.12,0.286%,5764687,105186402232.0,Norway,,Integrated oil Companies,Energy,/market-activity/stocks/eqnr
NOW,ServiceNow Inc. Common Stock,$100.55,-1.87,-1.826%,12008244,105175300000.0,United States,2012,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/now
AEM,Agnico Eagle Mines Limited Common Stock,$209.62,1.12,0.537%,1416238,105017411234.0,Canada,,Precious Metals,Basic Materials,/market-activity/stocks/aem
MCK,McKesson Corporation Common Stock,$856.62,-0.15,-0.018%,892154,104925204559.0,United States,,Other Pharmaceuticals,Health Care,/market-activity/stocks/mck
SNDK,Sandisk Corporation Common Stock,$710.80,-13.83,-1.909%,14406779,104914770898.0,United States,,Electronic Components,Technology,/market-activity/stocks/sndk
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),$8.25,0.05,0.61%,5946193,103654923488.0,Japan,,Major Banks,Finance,/market-activity/stocks/mfg
DUK,Duke Energy Corporation (Holding Company) Common Stock,$131.82,0.41,0.312%,2563321,102571465328.0,United States,,Power Generation,Utilities,/market-activity/stocks/duk
CNQ,Canadian Natural Resources Limited Common Stock,$49.16,0.91,1.886%,8224193,102546383520.0,Canada,,Oil & Gas Production,Energy,/market-activity/stocks/cnq
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$468.72,15.42,3.402%,4276734,102215207964.0,Ireland,2002,Electronic Components,Technology,/market-activity/stocks/stx
VRT,Vertiv Holdings LLC Class A Common Stock,$262.30,3.57,1.38%,2937233,100355577107.0,United States,2018,Industrial Machinery/Components,Technology,/market-activity/stocks/vrt
CVS,CVS Health Corporation Common Stock,$78.22,4.94,6.741%,16422474,100247096403.0,United States,,Retail-Drug Stores and Proprietary Stores,Consumer Staples,/market-activity/stocks/cvs
CMCSA,Comcast Corporation Class A Common Stock,$27.79,0.13,0.47%,37148457,99984140173.0,United States,,Cable & Other Pay Television Services,Telecommunications,/market-activity/stocks/cmcsa
SPOT,Spotify Technology S.A. Ordinary Shares,$483.18,-1.30,-0.268%,947043,99454160396.0,Luxembourg,2018,Broadcasting,Consumer Discretionary,/market-activity/stocks/spot
EQIX,Equinix Inc. Common Stock REIT,$1007.29,-8.79,-0.865%,424301,99342452220.0,United States,2000,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/eqix
NOC,Northrop Grumman Corporation Common Stock,$690.50,-5.29,-0.76%,608495,98073896290.0,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/noc
BMO,Bank Of Montreal Common Stock,$138.17,0.81,0.59%,393637,97398784379.0,Canada,,Commercial Banks,Finance,/market-activity/stocks/bmo
ADBE,Adobe Inc. Common Stock,$240.14,-4.215,-1.725%,3331071,97064588000.0,United States,1986,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adbe
MRVL,Marvell Technology Inc. Common Stock,$109.38,-0.13,-0.119%,18965204,95648242838.0,United States,2000,Semiconductors,Technology,/market-activity/stocks/mrvl
